,ID,Link,Title,Sponsor,Description,Petitioning,Letter,Signatures,Victory
10,3522593.0,https://www.change.org/p/stop-anti-semitic-anti-israel-bias-at-the-un,"Stop Anti-Semitic, Anti-Israel Bias at the UN",World Jewish Congress,"The United Nations continues to demonize Israel, dismiss outrageous human rights abuses by Arab leaders, and enable anti-Semites.  It’s not new.  But when this bias is allowed to go unchecked and unopposed at an institution as prestigious and powerful as the United Nations,  it sends a chilling message to governments around the world that the vilification of Jews is acceptable.                
 Seventy years after the U.N. was born from the ashes of the Holocaust to ensure repressive regimes could never again threaten humanity, many of the world’s worst human rights abusers – Iran, Qatar, Sierra Leone and Congo – have overrun what was created as a body for promoting peace. 
 Just think about how absurd it is that when the U.N.’s Commission on the Status of Women issued their most recent findings, they made no mention of women in Iran who are stoned to death for alleged infidelity or girls in the Sudan who are routinely mutilated. What’s more absurd:  They singled out just one nation … Israel. 
 And it should come as no surprise that in the 2014-15 session of the General Assembly, there were about 20 resolutions adopted that were critical of Israel.  Meanwhile Iran, Syria and North Korea received just one negative resolution each.   What’s worse is Iran actually sits on the UN committee responsible for disarmament  at the same time they pursue their nuclear ambitions and make statements calling for the annihilation of Israel!                         
 This jeopardizes the rights, safety and security of Jews everywhere. Action is required.",Petitioning Secretary-General of the United Nations Ban Ki-moon (Secretary-General of the United Nations),,9067.0,0.0
11,1811960.0,https://www.change.org/p/united-nations-security-council-impose-financial-and-military-sanctions-on-israel-for-war-crimes,Impose Financial and Military Sanctions on Israel for War Crimes,riaz ahmed,"When will the United Nations apply international laws against israel? When will the same law makers who readily impose financial and military sanctions on African, Arab and Asian Nations without thought - do the same to israel? 
 Why are these laws and sanctions applied? Why are you blind when it comes to israels ethnic cleansing and aparthied? 
 To stop this continuing murder of Palestinian people and the continuing ""wars"" and collective punishment. Stop applying the western military strategies of internal regime change by making the lives of everyday people hell, killing their children, their elderly and their weak. Israel is not the victim it is the perpetrator of war many crimes. 
 United Nations turning a blind eye just demostrates the one sided global Political structure and this is not acceptable. ACT NOW for a lasting peace in the region.","Petitioning United Nations, New York United Nations Security Council",,8725.0,0.0
12,4496068.0,https://www.change.org/p/nbc-fire-ayman-mohyeldin-from-nbc,Fire Ayman Mohyeldin From NBC,Ben Lieblich,"Ayman has systematically provided biased reporting for NBC over the years, with his journalism frequently shown to be misleading and inaccurate under scrutiny. This most recent episode in which he had to backtrack live on air on his claim that Israeli Defense Forces killed an unarmed civilian when the civilian in question was in fact a knife wielding attacker is only the latest incident in a string of biased reporting incidents of which NBC should be ashamed. This petition is to have Ayman removed from our television sets and have him stop poisoning the minds of the less informed. 
 Here are a few articles detailing some other examples of Ayman's biased reporting: 
 http://freebeacon.com/national-security/the-worst-of-ayman-mohyeldin/ 
 http://www.thetower.org/2444-anti-israel-msnbc-reporter-said-terrorist-didnt-have-knife-while-video-showed-that-he-did/ 
 http://www.dailydot.com/news/nbc-news-ayman-mohyeldin-edit/ 
 http://www.mediaite.com/tv/nbc-news-reporter-blames-u-s-for-not-recognizing-hamas-and-not-reigning-in-israel/ 
 http://www.foxnews.com/opinion/2015/10/16/reporting-from-jerusalem-astonishing-bias-nbcs-ayman-mohyeldin.html 
 http://freebeacon.com/issues/nbc-foreign-correspondent-to-address-leading-anti-israel-group/ 
 Special thanks to Fuel For Truth ( www.fuelfortruth.org ) for promoting this petition and all you do to support Israel.",Petitioning  NBC,"Fire Ayman Mohyeldin From NBC, and if you refuse, at least publicly acknowledge that you are taking steps to prevent the reporting bias that he displayed from continuing.",30815.0,0.0
13,3033216.0,https://www.change.org/p/the-irish-government-end-the-irish-arms-trade-with-israel,End the Irish arms trade with Israel,Ireland-Palestine Solidarity Campaign,"We call on the Irish government to place an immediate arms embargo upon the state of Israel. 
   
 Ireland has bought €14.7m worth of arms and military components from Israel over the last decade, while Irish-based companies have exported €6.42m worth of military and ‘dual use’ hardware to Israel since 2011. Meanwhile, Israel has killed over 9,000 Palestinians, including 2,060 children since 2000. Military items exported from Israel will have used Palestinians as ‘human test subjects’ so such weapons can be marketed as ‘battle proven’. Any military components exported to Israel will be used to kill and maim yet more Palestinians and to entrench the decades-long military occupation.  
 Neither Israel nor arms manufacturers in Ireland should be allowed to profit from the killing of Palestinians; this trade in death must end. We call upon the government of Ireland to end the Irish arms trade with Israel, and to advocate for an international arms embargo at EU and UN levels until Israel ends the occupation of Palestinian land and complies fully with its obligations under international law. The undersigned 
  ",Petitioning  The Irish Government,,3163.0,0.0
14,3187721.0,https://www.change.org/p/the-university-of-southampton-uphold-free-speech-allow-the-conference-on-israel-and-international-law-to-proceed,Uphold free speech & allow the conference on Israel and international law to proceed,Ben White,"According to a  statement  released by organisers on 31 March, the University of Southampton is withdrawing its consent to host the forthcoming conference on Israel and international law in the name of ""health and safety."" 
 We, the undersigned, urge the university to allow the conference to proceed as planned. There is ample time for any concerns regarding the safety and security of university staff, students, and conference participants to be met. The university must fulfill its legal obligation to protect free speech and academic discussion. 
 To cancel the conference on such grounds shows weakness in the face of external pressure and bullying, and calls into question the University of Southampton's commitment not only to academia and the professional activities of its own scholars, but also to the precious tradition of free speech itself.",Petitioning  The University of Southampton,,11084.0,0.0
15,3857216.0,https://www.change.org/p/stop-a-dangerous-nuclear-deal-with-iran,Stop a Dangerous Nuclear Deal with Iran,Citizens for a Nuclear Free Iran,"Last month, the terms of the Iran nuclear deal were made public. It did not take long for the world to realize that this is just a bad deal. The news sent shockwaves through Israel and the entire region.  And here too in the United States, experts and concerned citizens alike are deeply troubled by the ways this deal falls short. Citizens for a Nuclear Free Iran was founded in response to the concerns about significant flaws and serious consequences of the proposed deal.  We are dedicated to preventing Iran from obtaining a nuclear weapons capability.  That work starts by educating members of Congress and the public about the dangers of the proposed nuclear agreement with Iran. Congress needs to know that this is just a bad deal. 
   
  ",Petitioning  U.S. Congress,I do not support the Iran nuclear deal -- and I strongly urge you to vote to reject it. Iran has violated over 20 international agreements. And it’s the leading state sponsor of terrorism. How can we trust Iran with this nuclear deal? Please vote to reject a bad nuclear deal with Iran. We need a better deal.,59350.0,0.0
16,3866572.0,https://www.change.org/p/house-of-reps-stop-a-dangerous-nuclear-deal-with-iran,Stop a Dangerous Nuclear Deal with Iran,Citizens for a Nuclear Free Iran,"Last month, the terms of the Iran nuclear deal were made public. It did not take long for the world to realize that this is just a bad deal. The news sent shockwaves through Israel and the entire region.  And here too in the United States, experts and concerned citizens alike are deeply troubled by the ways this deal falls short. Citizens for a Nuclear Free Iran was founded in response to the concerns about significant flaws and serious consequences of the proposed deal.  We are dedicated to preventing Iran from obtaining a nuclear weapons capability.  That work starts by educating members of Congress and the public about the dangers of the proposed nuclear agreement with Iran. Congress needs to know that this is just a bad deal. 
   
  ",Petitioning  U.S. House of Representatives,I do not support the Iran nuclear deal -- and I strongly urge you to vote to reject it. Iran has violated over 20 international agreements. And it’s the leading state sponsor of terrorism. How can we trust Iran with this nuclear deal? Please vote to reject a bad nuclear deal with Iran. We need a better deal.,59350.0,0.0
17,3413301.0,https://www.change.org/p/israel-european-broadcasting-union-remove-israel-from-the-eurovision-song-contest,Remove Israel from the Eurovision Song Contest,Isa Darby,"Dear Sirs, 
 We request the removal of Israel from the Eurovision Song Contest for two reasons: 
 a) Israel is an occupying, aggressive and apartheid state that regularly breaches the human rights of Palestinians, both Christians and Muslims, as well as many Israeli Jews. 
 b) Israel is not part of Europe or the European Union. 
 To have a country in this competition which acts outside the boundaries of international law and in breach of human rights on a regular basis, lends said country a legitimacy that it does not deserve.  When one also considers that said country is not part of Europe or the EU, one must come to conclusion that it should not be included in the 'Euro'vision contest. 
 If this petition is upheld, then it will add pressure to Israel to stop its illegal actions, such as the building of settlements on occupied Palestinian land and to stop its breaches of international law, including the moving of its own population into occupied territory. 
 If this petition is not upheld, the organisers of the Eurovision Song Contest will be sending a clear signal to the world that it accepts the illegal, aggressive and racist actions of the Israeli government.",Petitioning European Broadcasting Union European Broadcasting Union,,1757.0,0.0
18,1254100.0,https://www.change.org/p/pass-the-military-justice-improvement-act-mjia-passmjia,Justice for Military Sexual Trauma Victims: Pass the Military Justice Improvement Act,Teresa Youngs,"Of the 26,000 sexual assaults in 2012, only 3,374 were reported and only 302 were brought to trial. I am a retired U.S. Navy Veteran and Military Sexual Trauma (MST) survivor. And like many other victims in the military, I was harassed, and humiliated by my Chain of Command after reporting my abuse. But a bipartisan bill before the U.S. Senate right now can completely change how sexual assaults in the military are handled - the Military Justice Improvement Act.  
 As it stands now, any U.S. Military personnel, male or female, who are sexually assaulted or harassed are at the mercy of their own Commanding Officers who have full jurisdiction and discretion in prosecuting these cases.  In many of the cases the perpetrator is not prosecuted while the victim is treated as the criminal, ostracized and harassed by their own command and often their military service stands in jeopardy. This is why so many assaults go unreported. 
 Even though I was raped while in the Navy, my case it is a story of command harassment.  During a 5 year period I was harassed, by my command because the Maintenance Officer didn't want ""women in his Navy"".  Between being raped and continuously harassed I was diagnosed with PTSD in 2001.  I was raped and it was traumatizing, but the most devastating thing was the Command Harassment. 
 The Military Justice Improvement Act (S. 967) changes this by taking the Commanding Officer out of the case and providing a specialized legal group in charge of investigating and prosecuting these cases. This is a common sense step that our closest allies, including the UK, Canada, Australia and Israel, have made to their militaries.  
 The Military Justice Improvement Act has bipartisan support but needs more votes to pass and it will be voted on this week. Your Senator needs to hear from you about this important bill now!  
 I spent 20 years trying to run away from the hell the Navy put me though. I was told that all of my problems were between my ears. They tried to Court Marshal me, they harassed me on a daily basis, and when I was transferred the harassment continued because my perpetrator picked up the phone and had me labeled a troublemaker before I even checked in.  If the Military Justice Improvement Act had been passed then, that wouldn't have happened to me.  
 Help us get the word to Congress that the rape culture in the military is still prevalent.  Tell them we will no longer allow our men and women in the military to be raped, tell them that we WILL hold them accountable.  
 I am taking a stand against the unjust persecution of my brothers and sisters that are victims of MST and harassment. Please join me by asking your Senator to support the Military Justice Improvement Act. ",Petitioning Representative Patrick Murphy,,131188.0,0.0
19,3931912.0,https://www.change.org/p/ban-ki-moon-respond-urgently-to-climate-change-by-setting-a-renewable-energy-target-of-100-by-2050-3,Respond urgently to climate change by setting a renewable energy target of 100% by 2050,Religions For Peace,"Climate change is one of the greatest moral challenges of our time.  It threatens the health of our planet and people; especially the poorest and most vulnerable. It threatens our children’s future and everything we hold dear. It is time for all of us to wake up and take action together — in our local communities, nationally and globally, as well as in our daily lives.   
 As citizens motivated by faith and other moral traditions, we recognize that there is a grave obligation to act on climate change.      
 We call on you as leaders to respond urgently to the threats of climate change and set a renewable energy target of 100% by 2050.  We need bold action like this to keep global temperature rise below the unacceptably dangerous tipping point of two degrees, to phase out carbon pollution to zero, and to invest resources in sustainable development pathways to build a more flourishing, inclusive and balanced world. 
 We pledge to do our own part by embracing the moral responsibility to care for our world and for each other and by seeking to live better and more sustainable lives in greater joy and harmony. 
 Let us act now, boldly and together, to build a better life for all! 
 Thank you for standing with us and the Faiths for Earth campaign in this important global fight. 
 Signed, 
 H.E. Archbishop Desmond Tutu, South Africa 
 H.E. Raymundo Cardinal Damasceno Assis, Archbishop of Aparecida, São Paulo, Brazil 
 H.H. Tep Vong, Supreme Patriarch, Kingdom of Cambodia 
 H.E. Sheikh Ali Gomaa, Former Grand Mufti of Egypt 
 H.E. Prof. Dr. Din Syamsuddin, President, Muhammadiyah, Indonesia 
 Chief Rabbi David Rosen, KSG, CBE, Co-President of Religions for Peace, Israel 
 H.E. José Francisco, Cardinal Robles Ortega, Archbishop of Guadalajara, Jalisco, México 
 H.E. John Cardinal Onaiyekan, Archbishop of Abuja, Archdiocese of Abuja, Nigeria 
 H.M. Muhammadu Sa'ad Abubakar, Sultan of Sokoto; President General, Nigerian Supreme Council for Islamic Affairs 
 Bishop Gunnar Stålsett, Bishop Emeritus of Oslo, Church of Norway; Member, Nobel Peace Prize Committee 
 H.E. Dr. Mehmet Görmez, President of Religious Affairs, Presidency of Religious, Turkey 
 H.E. Monsignor Luigi Bressan, Archbishop of Trento, Archdiocese of Trento 
 You can also sign your nation-specific petition here:  
 Argentina  -  Australia  -  Brazil  -  Cambodia  -  Canada  -  Caribbean  -  Colombia  -  Egypt  -  France  -  Germany  -  Indonesia  -  Ireland  -  Israel  -  Italy  -  Japan  -  Kenya  -  Mexico  -  Nigeria  -  Norway  -  Philippines  -  Portugal  -  Russia  -  South Africa  -  Spain  -  Turkey  -  UK  -  USA",Petitioning Secretary-General of the United Nations Ban Ki-moon,,334519.0,0.0
20,3599659.0,https://www.change.org/p/war-on-want-israel-palestinian-children,STOP ISRAEL KILLING PALESTINIAN CHILDREN,War on Want,"Israel’s attacks on Gaza last year killed over 500 children. UK-made arms and military technologies continue to be sold to and used by the occupying Israeli forces. Join War on Want to tell the British government to STOP ARMING ISRAEL. 
   
 Pictures- Copyright  Details-Some rights reserved 
 1. Picture  
 Original source link 
 Credit: Basel Al Yazouri 
 Licence link 
 2. Stop Israeli Crimes: how many children did you kill today. 
 Original source link 
 Credit : Takber (John Englart) 
 Licence link",Petitioning  The British Government,STOP ISRAEL KILLING PALESTINIAN CHILDREN,760.0,0.0
21,5628502.0,https://www.change.org/p/save-the-starving-animals-of-the-gaza-zoo,Save the starving animals of the Gaza Zoo,Mogul 4.16,"The animals in Gaza’s South Jungle Zoo are starving to death. 
 Their struggle started in 2014, during the 50-day war between Israel and Hamas. No one could get to the animals to feed them. Some, including a beautiful Bengal Tiger, died waiting for food. Now, conditions for the creatures that have survived the fighting are dire. 
 The region’s people are having a hard time finding food, let alone the animals. The zoo is not bringing in revenue anymore, as almost no one visits since the fighting began. Staff have taken to stuffing the animals that die and putting them back on display, to maintain the facade of a lively zoo. 
 These animals are innocent, and should not be victims of the war. An agency called Four Paws is currently working to try and secure the release of these animals.  Please join me and ask the South Jungle Zoo to consider working with Four Paws to secure the release of the surviving animals to qualified aid organizations, sanctuaries or zoos in more stable regions. 
 Many of these animals are already endangered, and to drag them through such suffering is senseless. Of the six ostriches, only one is still alive. The lions and the only llama died in December. There are no more crocodiles. One tiger remains, and the owner was recently quoted saying it had not eaten in four or five days. 
 Half of the remaining 20 or so animals and birds in the zoo are ill due to lack of veterinary care. We must act now to save them. 
 Let’s implore the South Jungle Zoo’s owner to release all of his surviving animals to qualified organizations and sanctuaries that can nurse them back to health. It is their only hope.",Petitioning  South Jungle Zoo,,130095.0,0.0
22,3907076.0,https://www.change.org/p/ban-ki-moon-respond-urgently-to-climate-change-by-setting-a-renewable-energy-target-of-100-by-2050-2,Respond urgently to climate change by setting a renewable energy target of 100% by 2050,Religions For Peace,"Climate change is one of the greatest moral challenges of our time.  It threatens the health of our planet and people; especially the poorest and most vulnerable. It threatens our children’s future and everything we hold dear. It is time for all of us to wake up and take action together — in our local communities, nationally and globally, as well as in our daily lives.   
 As citizens motivated by faith and other moral traditions, we recognize that there is a grave obligation to act on climate change.      
 We call on you as leaders to respond urgently to the threats of climate change and set a renewable energy target of 100% by 2050.  We need bold action like this to keep global temperature rise below the unacceptably dangerous tipping point of two degrees, to phase out carbon pollution to zero, and to invest resources in sustainable development pathways to build a more flourishing, inclusive and balanced world. 
 As leaders of the Buddhist, Christian, Hindu, Indigenous, Islamic, Jain, Jewish, Shinto, Sikh, Taoist, and Zoroastrian faiths, we pledge to do our own part by embracing the moral responsibility to care for our world and for each other by seeking to live better and more sustainable lives in greater joy and harmony. 
 Join us by calling on your country's head of state to create a world of 100% renewable energy by 2050. Let us act now, boldly and together, to build a better life for all! 
 You can also sign your nation-specific petition here:  
 Argentina  -  Australia  -  Brazil  -  Cambodia  -  Canada  -  Caribbean  -  Colombia  -  Egypt  -  France  -  Germany  -  Indonesia  -  Ireland  -  Israel  -  Italy  -  Japan  -  Kenya  -  Mexico  -  Nigeria  -  Norway  -  Philippines  -  Portugal  -  Russia  -  South Africa  -  Spain  -  Turkey  -  UK  -  USA",Petitioning Secretary-General of the United Nations Ban Ki-moon,,334519.0,0.0
23,6325562.0,https://www.change.org/p/google-inc-google-put-palestine-on-your-maps,GOOGLE: Put Palestine On Your Maps!,Google: Put Palestine On Your Maps!,"The country of Palestine does not appear on Google maps. Why not? Israel, established on Palestinian land, is clearly designated. But there is no mention of  Palestine. According to Google, Palestine does not exist. 
 The omission of Palestine is a grievous insult to the people of Palestine and undermines the efforts of the millions of people who are involved in the campaign to secure Palestinian independence and freedom from Israeli occupation and oppression. 
 This is an important issue, as Google Maps are now regarded as definitive by people around the world, including journalists, students and others carrying out research into the Israel-Palestine situation. 
 Whether intentionally or otherwise, Google is making itself complicit in the Israeli government's ethnic cleansing of Palestine. 
 Please join us in calling on Google to recognize Palestine in Google Maps, and to clearly designate and identify the Palestinian territories illegally occupied by Israel. 
 Please remember to share this petition with your social media contacts. 
 Thank you. 
  ","Petitioning  Google, Inc",,26156.0,0.0
24,3195721.0,https://www.change.org/p/canadian-government-ban-animal-testing-in-canada,Ban Animal Testing In Canada,Put Tests To Rest,"- It's proven to be unreliable. The Drug and Food Administration reports that 92 out of every 100 drug tests that pass animals  FAIL  humans 
 - It's unethical to force over 100 million living, breathing animals to suffer our tests that are proven to be  UNSUCCESSFUL  
 - IT'S POINTLESS . Today, alternative technologies exist that could render animal testing completely useless. So why do we continue to torture these poor animals? 
 - There are  VERY FEW LAWS  that protect animals from this form of abuse. It serves these big companies that legislation doesn't provide as much protection to some animals as others. While it's  HORRID  that these companies exploit these laws, the government should strengthen its legislation surrounding animal rights to stop it in the first place 
 - Europe, Israel and India have already  BANNED  the use of animals in testing cosmetics, and have  BANNED  the sale and import of newly animal-tested beauty products.  CANADA COULD BE NEXT!!! 
 SIGN TODAY TO STOP ANIMAL TESTING IN CANADA FOR GOOD",Petitioning  Canadian Government,,40063.0,0.0
25,3463769.0,https://www.change.org/p/european-commission-allow-all-white-south-africans-the-right-to-return-to-europe,Allow all white South Africans the right to return to Europe,Rodrigo Herhaus de Campos,"The idea that white South Africans have the right to return to Europe is based in the concept of indigenous rights and self determination. 
 The white South African population currently faces ethnic cleansing and persecutions at the hands of the ANC government, the EFF, and various individual anti-white aggressors. Over 4000 white farmers have been brutally murdered, often including torture and rape and mutilation. Many white South Africans today live in poverty and squalor as a consequence of the ANC government's Black Economic Empowerment policy which shuts whites out of the labour pool. 
 Based on the Israeli government's policy of allowing all Jews the right to return to Israel, we believe it is not only advisable but morally obligatory that Europe should allow all white South Africans the right to return. 
 As it currently stands, many white South Africans who try to apply for citizenship to European countries such as the Netherlands and UK are rejected. Many of these white South Africans seeking citizenship are direct descendants of the very same European nations that reject them. 
 Obviously certain details of this policy are subject to deliberation. For instance, whether the white South Africans would have the right to return to any European nation of their choosing, or if they would specifically have the right to return to whatever nation the majority of their ancestry is from (which in most cases would be the Netherlands or UK). 
 Also this would extend to whites in Zimbabwe and Namibia, given that they face a similar situation. But white South Africans are the largest population group of whites in southern Africa by far, so that is why the name of this petition references them specifically.",Petitioning  Council of the European Union,Allow all white South Africans the right to return to Europe,47602.0,0.0
26,4804830.0,https://www.change.org/p/justin-trudeau-stop-islamic-immigration-to-canada,STOP Islamic Immigration to Canada,Riley Stuart,"This petition is calling on Prime Minister Justin Trudeau to end Islamic Immigration to Canada.

Immigration is not the issue, Canada is a country built by immigrants, and a majority of those who come to Canada from abroad like Sikh, Hindu, Buddhists, Christians, Jews, Kurds, Asians, Europeans etc. are good, honest people. The problem is the immigration of large numbers of improperly vetted people from regions where violent Islamic unrest is endemic.

We're all for immigration and helping those in need, but statistics are demonstrating that Islamic migrant invaders are masquerading as refugees, only to bring the very hatred with them to the West that they claim to be escaping. We do not want to see an influx of this in Canada, as we are currently seeing in Europe. The attacks in Paris along with the daily attacks in Israel by Islamists is the last straw. We cannot risk an epidemic of such savagery on Canadian soil.",Petitioning Prime Minister of Canada/Premier ministre du Canada Justin Trudeau,STOP Islamic Immigration to Canada,36957.0,0.0
27,3341196.0,https://www.change.org/p/ebu-eurovision-song-contest-expel-apartheid-israel-from-eurovision-song-contest-until-the-occupation-ends,Expel Apartheid Israel from Eurovision Song Contest,Freja Levinsdottir,"  
 The non-violent strategy of boycott was a key contributor to the collapse of white-ruled South Africa apartheid. It's time to take action again and stand on the right side of the history. 
 We urge the Eurovision Song Contest to exclude apartheid Israel from the contest.  
 ""..TO REMAIN SILENT AND INDIFFERENT IS THE GREATEST SIN OF ALL.""  (Jewish-American writer, professor, human rights activist, Nobel Laureate, and holocaust survivor, Elie Wiesel, the author of 'Night') 
 Israel is using Eurovision Song context as a propaganda tool. 
 It is to choose the side of the oppressor if EBU allow them with silent consent. 
 In 2005, Nissim Ben-Sheetrit of Israel’s Foreign Ministry emphasised: ""We see culture as a propaganda tool of the first rank, and I do not differentiate between between propaganda and culture"". Israel is guilty of crimes against humanity and its artists are considered by their apartheid regime to be its ambassadors. Shall EBU allow it by silent consent? We say  NO  of course not! 
  In 2006, the Israeli Ministry of Foreign Affairs launched an multi-million dollar initiative called “Brand Israel,” whereby culture is used to whitewash an apartheid state founded on the ethnic cleansing of the Palestinian people and occupation of their land. Arye Mekel of Israel’s Foreign Ministry explained “We willsend well-known novelists and writers overseas, theatre companies, exhibits… This way you show Israel’s prettier face, so we are not thought of purely in the context of war.” Shall EBU contribute to the hiding of the ugly truth, by pretending it doesn't exist? We say  NO  of course not. 
 In 2008, Israeli poet Yitzhak Laor explained the contacts Israeli artists going abroad with foreign Ministry funding have to sign includes a 'Brand Israel' clause that [the artist] ""is aware that the purpose of ordering services from him is to promote the policy interest of the State of Israel via culture and art, including contributing to creating a positive image for Israel"" furthermore it stipulatesthat this relationship must remain secret. 
 Israelis such as EX Zionists Professor Ilan Pappe author of The Ethnic Cleansing of Palestine, Miko Peled Author of The Generals Son, are ashamed of Apartheid Israel and are leaving Israel in droves. Jewish people all across the world are calling on you to help end the apartheid  
 racism of the Zionist state by signing the petition calling on the organisers of the Eurovision Song Competition to EXPEL apartheid Israel from the competition. 
 Palestinian artists and musicians are routinely prevented from performing abroad as the result when Israel often refuses to allow Palestinians to cross military checkpoints leading to a dead end instead of the airport. 
 On 9 March 2012, for instance, the UN Committee on the Elimination of Racial Discrimination called ( http://www2.ohchr.org/english/bodies/cerd/docs/CERD.C.ISR.CO.14-16.pdf ) on Israel to end its racist policies and laws that contravene the prohibition against racial segregation and apartheid. 
 But it is the massacres of the innocents, such as the 538 of last July and the massacre of 29 members of the Samouni Family, in cold blood and other acts of inhumanity that are so utterly objectionable, that right thinking artists shouldn't perform with, organises should not allow into song competitions, and members of the public should not watch without consideration for thedeath and destruction to innocent lives. 
 The 2014 ""WAR"" was a massacre of 2011 civilians at least 538 innocent children and the permanent maiming of 1000 more children and the wilful demolition of 58,000 homes leaving 130,000 innocent people homeless. 
 Shall EBU pretend as if Israel never did this? Shall EBU allow Israel to wave the flag of the oppressor in the face of all the Palestinian viewers, many as refugees in Europe, and human rights activists and right minded people? We say NO. We urge you to do the same. 
  ","Petitioning European Broadcasting Union Michelle Roverelli, Jarmo Siim, Radka Betcheva,","Expel Apartheid Israel from Eurovision Song Contest until the occupation ends. This is not about politics. This is about humanity and learning from the time when we ended apartheid in south Africa.  The non-violent strategy of boycott was a key contributor to the collapse of white-ruled South Africa apartheid. It's time to take action again and stand on the right side of the history. We urge the Eurovision Song Contest to exclude apartheid Israel from the contest.  ""..TO REMAIN SILENT AND INDIFFERENT IS THE GREATEST SIN OF ALL."" (Jewish-American writer, professor, human rights activist, Nobel Laureate, and holocaust survivor, Elie Wiesel, the author of 'Night') Israel is using Eurovision Song context as a propaganda tool. It is to choose the side of the oppressor if EBU allow them with silent consent. In 2005, Nissim Ben-Sheetrit of Israel’s Foreign Ministry emphasised: ""We see culture as a propaganda tool of the first rank, and I do not differentiate between between propaganda and culture"". Israel is guilty of crimes against humanity and its artists are considered by their apartheid regime to be its ambassadors. Shall EBU allow it by silent consent? We say NO of course not!  In 2006, the Israeli Ministry of Foreign Affairs launched an multi-million dollar initiative called “Brand Israel,” whereby culture is used to whitewash an apartheid state founded on the ethnic cleansing of the Palestinian people and occupation of their land. Arye Mekel of Israel’s Foreign Ministry explained “We willsend well-known novelists and writers overseas, theatre companies, exhibits… This way you show Israel’s prettier face, so we are not thought of purely in the context of war.” Shall EBU contribute to the hiding of the ugly truth, by pretending it doesn't exist? We say NO of course not. Once again: This is not about politics. This is about humanity and learning from the time when we ended apartheid in south Africa. We must all engage and stand on the right side of the history.",1310.0,0.0
28,3281011.0,https://www.change.org/p/governor-brown-members-of-the-california-legislature-mayors-of-cities-in-california-and-directors-stop-punishing-california-residents-the-water-problem-is-your-fault-and-your-responsibility-to-fix,Stop punishing California Residents. The water problem is YOUR FAULT!,Elias C,"We have done our part. We have installed water saving toilets, shower-heads, sprinklers, faucets, etc. We have reduced our water consumption dramatically and are paying exorbitant fees for water and taxes. Enough is enough! 
  On the other hand,  YOU have done nothing  to prepare the State for water shortages and increased population. Blaming the weather is flatout irresponsible. You had plenty of warning. Our water system is old and not capable of sustaining growth or lack of rain. 
 1. Time for YOU to get to work.  Find ways to bring water to the State: 
 
 Water desalinization – Better, efficient, solar-powered technology is available now. The biggest ocean in the world is right next to us. 
  Waterpipe from Oregon/Washington States. The Columbia River dumps millions of gallons of water to the ocean everyday. Find a way to buy that water and build a pipeline to supply our aqueducts. 
  Talented American engineers are working in the Middle East turning deserts into tropical paradises. Consult with them. The technology is available. 
 
 2. Every action has an Equal and Opposite Reaction!  Your mandate for us to cut our water usage by 25% will have serious and irreversible effects to our Eco-system: 
 
  We spent years planting trees, grass and plants, making our cars more efficient and reducing pollution to clean our air quality. We can’t go back to pollution. 
  Air quality and greenhouse gases will create a man-made climate change. By reducing the irrigation of our gardens, we will be killing our grass, plants and trees. This will reduce the amount of oxygen producing organisms and increase our CO2 levels affecting our greenhouse gases, damaging our air quality and increasing the number of people suffering from respiratory and pulmonary diseases. 
 Reduced production of healthy California produce:  You are asking farmers to decrease their water usage. This will also reduce the amount of produce grown in California and kill our farming industry. The unacceptable alternative would be to import produce from China and other non-FDA regulated countries that use dangerous pesticides and fertilizers. You will seriously harm our health! 
 California is one of the most beautiful states in the Nation. By destroying our gardens and trees, our property values will decrease. This will have negative consequences by reducing the amount the State and local municipalities collect in taxes. 
 The reduced consumption or water will increase water pressure and instability in the old pipes and infrastructure in our larger cities. Bursts underground pipes waste more water per minute than the water we could “save” by reducing our water usage in weeks. 
 
 Your punishing actions and unacceptable mediocrity are driving people away from California. STOP! 
 3. Money is NOT an issue: 
 
 You have budgeted billions of dollars to build a high-speed train, support entitlements for undocumented workers and unnecessary government projects and bureaucracy.  This is an EMERGENCY. Re-allocate funds to get water into our States NOW! 
 The State is collecting unprecedented and unfair amounts of money in the “Global Warming Tax”.  Use this money to prevent further global warming. We need our plants, trees and grass to reduce CO2 levels and prevent further climate change. 
 Initiate investigations into corruption, nepotism and waste of resources in ALL of the State’s water agencies.  For example: Do we really need over 5,000 people making over $130,000 per year in salary in the Los Angeles Department of Water and Power?  200 of them make over $250,000 per year.  This is flat out corruption! 
 
 4. Mediocrity is UNACCEPTABLE: 
 
  California is the world leader when it comes to innovation, technology and human progress. We have some of the best research universities in the world like Caltech, USC, Stanford, Berkeley and others. Some of the best technology companies and the brightest minds in the world are headquartered in California.  Start an immediate program to fund research and solutions for the water mismanagement problem. 
 Bring engineers and consultants from Israel to train our farmers on the water utilization techniques they use. 
 Just like Space X did it for space travel, create a State-funded contest and with a prize of $10 million dollars to the entity or individual that can find better solutions.  
 
 With all these resources at your disposal, it is just impossible to believe that the only solution you can find is to further punish the citizens for your mistakes and lack of action. 
 Get off your comfortable seats and comfy offices and GET TO WORK! Time to act and work for US, the people that pay your salaries, the citizens of California!  ",Petitioning  California Governor,,66998.0,0.0
